year,block,dsl_b,org_type,cin,iso_certified,initial_prod_year,acc_year_from,acc_year_to,months_operation,foreign_share,rd_unit,formal_training
24,B,100140,2,1E+21,2,2019,4,32024,9,2,3,2
24,B,100141,1,1E+21,2,2021,4,32024,12,2,3,2
24,B,100142,2,1E+21,2,2012,4,32024,5,2,3,2
24,B,100143,1,1E+21,2,2010,4,32024,12,2,3,2
24,B,100144,1,1E+21,2,2009,4,32024,8,2,3,2
24,B,100145,1,1E+21,2,2012,4,32024,12,2,3,2
24,B,100146,1,1E+21,2,2017,4,32024,3,2,3,2
24,B,100147,1,1E+21,2,2021,4,32024,8,2,3,2
24,B,100148,7,1E+21,1,2022,4,32024,12,2,3,2
24,B,100149,2,1E+21,2,2013,4,32024,12,2,3,2
24,B,100150,7,1E+21,2,2018,4,32024,12,2,3,1
24,B,100151,1,1E+21,2,1970,4,32024,12,2,3,2
24,B,100152,1,1E+21,2,1958,4,32024,12,2,3,2
24,B,100153,2,1E+21,2,2004,4,32024,12,2,3,2
24,B,100154,6,1E+21,2,1997,4,32024,12,2,3,2
24,B,100155,2,1E+21,2,1995,4,32024,12,2,3,2
24,B,100156,1,1E+21,2,1977,4,32024,0,2,3,2
24,B,100157,1,1E+21,2,1999,4,32024,6,2,3,2
24,B,100158,1,1E+21,2,2019,4,32024,12,2,3,2
24,B,100159,6,1E+21,2,2022,4,32024,12,2,3,2
24,B,100160,4,1E+21,2,2001,4,32024,12,2,3,2
24,B,100161,4,1E+21,2,1980,4,32024,12,2,3,2
24,B,100162,1,1E+21,2,1992,4,32024,12,2,3,2
24,B,100163,7,1E+21,2,2006,4,32024,12,2,3,1
24,B,100164,2,1E+21,2,2012,4,32024,12,2,3,2
24,B,100165,7,1E+21,2,2022,4,32024,12,2,3,2
24,B,100166,1,1E+21,2,1997,4,32024,12,2,3,2
24,B,100167,3,1E+21,2,2011,4,32024,12,2,2,1
24,B,100168,6,1E+21,2,2009,4,32024,12,2,1,2
24,B,100169,1,1E+21,2,0,4,32024,0,2,3,2
24,B,100170,2,1E+21,2,2008,4,32024,12,2,3,2
24,B,100171,1,1E+21,2,2016,4,32024,12,2,3,2
24,B,100172,6,1E+21,2,2009,4,32024,12,2,3,2
24,B,100173,7,1E+21,1,1995,4,32024,12,2,3,2
24,B,100174,6,1E+21,2,2004,4,32024,12,2,3,2
24,B,100175,6,1E+21,1,2004,4,32024,12,2,3,2
24,B,100176,7,1E+21,2,2006,4,32024,12,2,3,2
24,B,100177,7,1E+21,1,2005,4,32024,12,2,3,2
24,B,100178,7,1E+21,1,2005,4,32024,12,2,1,2
24,B,100179,6,1E+21,1,2004,4,32024,12,2,3,2
24,B,100180,6,1E+21,1,2005,4,32024,12,2,3,2
24,B,100181,6,1E+21,1,2005,4,32024,12,2,3,2
24,B,100182,6,1E+21,1,2005,4,32024,12,2,3,1
24,B,100183,6,1E+21,1,2005,4,32024,12,2,3,2
24,B,100184,6,1E+21,1,2008,4,32024,12,2,3,2
24,B,100185,6,1E+21,1,2006,4,32024,12,2,2,2
24,B,100186,6,1E+21,1,2006,4,32024,12,2,3,2
24,B,100187,6,1E+21,1,2006,4,32024,12,2,1,2
24,B,100188,6,1E+21,1,2006,4,32024,12,2,2,2
24,B,100189,7,1E+21,1,2006,4,32024,12,2,3,2
24,B,100190,6,1E+21,1,2022,4,32024,12,2,3,1
24,B,100191,6,1E+21,1,2006,4,32024,12,2,3,2
24,B,100192,6,1E+21,1,2009,4,32024,12,2,2,2
24,B,100193,6,1E+21,1,2008,4,32024,12,2,3,1
24,B,100194,7,1E+21,1,2008,4,32024,12,2,3,2
24,B,100195,6,1E+21,1,2008,4,32024,12,2,3,2
24,B,100196,2,1E+21,2,2005,4,32024,12,2,3,2
24,B,100197,2,1E+21,1,2012,4,32024,12,2,3,2
24,B,100198,6,1E+21,1,2014,4,32024,12,2,3,2
24,B,100199,2,1E+21,1,2015,4,32024,12,2,3,1
24,B,100200,7,1E+21,1,2004,4,32024,12,2,3,2
24,B,100201,6,1E+21,2,2005,4,32024,12,2,3,2
24,B,100202,3,1E+21,2,2000,4,32024,12,2,2,1
24,B,100203,6,1E+21,1,2009,4,32024,12,1,3,2
24,B,100204,6,1E+21,2,2004,4,32024,12,2,3,2
24,B,100205,7,1E+21,2,2008,4,32024,12,2,3,2
24,B,100206,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100207,6,1E+21,1,2017,4,32024,12,2,3,2
24,B,100208,6,1E+21,1,2017,4,32024,7,2,3,2
24,B,100209,6,1E+21,1,2005,4,32024,12,2,3,2
24,B,100210,7,1E+21,1,2009,4,32024,12,2,3,2
24,B,100211,7,1E+21,2,2012,4,32024,12,2,2,2
24,B,100212,1,1E+21,1,2009,4,32024,12,2,3,2
24,B,100213,1,1E+21,2,2010,4,32024,12,2,3,2
24,B,100214,1,1E+21,2,1984,4,32024,12,2,3,2
24,B,100215,6,1E+21,1,1997,4,32024,12,2,3,2
24,B,100216,7,1E+21,1,2005,4,32024,12,2,3,2
24,B,100217,6,1E+21,2,2005,4,32024,12,2,3,2
24,B,100218,6,1E+21,1,2005,4,32024,12,2,2,2
24,B,100219,6,1E+21,2,2004,4,32024,12,2,2,2
24,B,100220,6,1E+21,1,2006,4,32024,12,2,3,2
24,B,100221,6,1E+21,1,2007,4,32024,12,2,3,2
24,B,100222,6,1E+21,2,1998,4,32024,12,2,3,2
24,B,100223,2,1E+21,1,2007,4,32024,12,2,3,2
24,B,100224,7,1E+21,1,2023,4,32024,5,2,3,2
24,B,100225,6,1E+21,2,2011,4,32024,12,2,3,2
24,B,100226,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100227,2,1E+21,1,2011,4,32024,12,2,3,2
24,B,100228,2,1E+21,2,2006,4,32024,12,2,3,1
24,B,100229,6,1E+21,2,2016,4,32024,12,2,3,2
24,B,100230,6,1E+21,1,2022,4,32024,12,2,3,2
24,B,100231,7,1E+21,2,2022,4,32024,12,2,3,2
24,B,100232,2,1E+21,2,1986,4,32024,12,2,3,2
24,B,100233,2,1E+21,2,1988,4,32024,12,2,3,2
24,B,100234,1,1E+21,2,1985,4,32024,12,2,3,2
24,B,100235,2,1E+21,2,2005,4,32024,12,2,3,2
24,B,100236,1,1E+21,2,1999,4,32024,12,2,3,2
24,B,100237,9,1E+21,2,0,4,32024,0,2,3,2
24,B,100238,2,1E+21,1,2012,4,32024,12,2,3,2
24,B,100239,2,1E+21,2,2012,4,32024,12,2,3,2
24,B,100240,7,1E+21,1,2004,4,32024,12,2,3,2
24,B,100241,7,1E+21,2,2004,4,32024,12,2,3,2
24,B,100242,7,1E+21,2,2006,4,32024,12,2,3,2
24,B,100243,7,1E+21,2,2010,4,32024,12,2,3,2
24,B,100244,7,1E+21,2,2004,4,32024,12,2,3,2
24,B,100245,6,1E+21,1,2007,4,32024,12,2,3,2
24,B,100246,6,1E+21,1,2007,4,32024,12,2,1,1
24,B,100247,6,1E+21,2,2011,4,32024,12,2,2,2
24,B,100248,1,1E+21,2,2011,4,32024,12,2,3,2
24,B,100249,2,1E+21,2,2011,4,32024,12,2,3,2
24,B,100250,7,1E+21,1,2010,4,32024,12,2,3,2
24,B,100251,2,1E+21,2,2016,4,32024,12,2,3,2
24,B,100252,1,1E+21,2,2018,4,32024,12,2,3,2
24,B,100253,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100254,6,1E+21,2,2022,4,32024,12,2,3,2
24,B,100255,6,1E+21,1,2022,4,32024,12,2,3,1
24,B,100256,7,1E+21,2,2023,4,32024,1,2,3,2
24,B,100257,1,1E+21,2,0,4,32024,0,2,3,2
24,B,100258,1,1E+21,2,2011,4,32024,12,2,3,2
24,B,100259,7,1E+21,2,2012,4,32024,12,2,3,2
24,B,100260,1,1E+21,2,2018,4,32024,12,2,3,2
24,B,100262,2,1E+21,2,2017,4,32024,12,2,3,2
24,B,100263,7,1E+21,2,2004,4,32024,12,2,3,2
24,B,100264,7,1E+21,1,1987,4,32024,12,2,3,2
24,B,100265,1,1E+21,2,1986,4,32024,9,2,3,2
24,B,100266,7,1E+21,1,1997,4,32024,12,2,3,2
24,B,100267,7,1E+21,2,1991,4,32024,12,2,3,2
24,B,100268,2,1E+21,2,1986,4,32024,12,2,3,2
24,B,100269,7,1E+21,2,2002,4,32024,12,2,3,2
24,B,100270,7,1E+21,2,2001,4,32024,12,2,3,2
